,,,,,,,IDEP,,META,,,,
019264,EMEF INACIO MONTEIRO CEU EMEF,GUAIANASES,CIDADE TIRADENTES,3,2,2,"4,1","4,1","4,3","4,5","4,7","5,0","5,2"
012874,EMEF BENEDITO DE JESUS B LAURINDO PE BATISTA EMEF,SAO MATEUS,SAPOPEMBA,3,2,2,"4,1","4,7","4,3","4,5","4,7","4,9","5,1"
010146,EMEF MARIA RITA LOPES PONTES - IRMA DULCE EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,1","4,2","4,4","4,6","4,9","5,1","5,4"
094382,EMEF CECILIA MORAES DE VASCONCELOS PROFA EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,2","3,5","4,3","4,5","4,7","4,9","5,1"
093068,EMEF ZULMIRA CAVALHEIRO FAUSTINO EMEF,CAMPO LIMPO,CAMPO LIMPO,3,2,2,"4,2","4,5","4,5","4,7","5,0","5,3","5,6"
094811,EMEF ROMAO GOMES CORONEL EMEF,JACANA/TREMEMBE,VILA MARIA,3,2,2,"4,2","4,4","4,4","4,6","4,8","5,0","5,2"
092983,EMEF PROCOPIO FERREIRA EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,2","4,4","4,5","4,7","5,0","5,3","5,6"
019277,EMEF VILA ATLANTICA CEU EMEF,PIRITUBA,SAO DOMINGOS,3,2,2,"4,2","4,1","4,4","4,6","4,9","5,1","5,3"
092991,EMEF AIRTON ARANTES RIBEIRO PROF.EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,3","4,7","4,5","4,7","5,0","5,2","5,5"
019216,EMEF THEREZA MACIEL DE PAULA PROFA EMEF,SAO MATEUS,SAO RAFAEL,3,2,2,"4,3","4,2","4,5","4,6","4,8","5,0","5,2"
092932,EMEF JORGE AMERICANO PROF EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,3","4,5","4,5","4,7","4,9","5,1","5,3"
094854,EMEF ENEAS CARVALHO AGUIAR EMEF,JACANA/TREMEMBE,VILA MEDEIROS,3,2,2,"4,3","4,2","4,5","4,7","4,9","5,1","5,3"
093246,EMEF MANOEL CARLOS F FERRAZ DESEMBARGADOR EMEF,SANTO AMARO,PEDREIRA,3,2,2,"4,3","4,4","4,5","4,8","5,0","5,2","5,5"
094269,EMEF CASTRO ALVES EMEF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,3","4,1","4,6","4,8","5,0","5,3","5,5"
095044,EMEF CAMPOS SALLES PRES EMEF,IPIRANGA,SACOMA,3,2,2,"4,3","4,4","4,5","4,7","4,9","5,1","5,3"
016713,EMEF ANNA SILVEIRA PEDREIRA EMEF,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,3","4,8","4,6","4,8","5,0","5,2","5,5"
017973,EMEF MAILSON DELANE EMEF,GUAIANASES,CIDADE TIRADENTES,3,2,2,"4,4","3,9","4,6","4,8","5,0","5,2","5,4"
095494,EMEF ARMANDO DE SALLES OLIVEIRA EMEF,SAO MATEUS,SAPOPEMBA,3,2,2,"4,4","4,7","4,5","4,7","4,9","5,0","5,2"
093394,EMEF TEODOMIRO TOLEDO PIZA DESEMBARGADOR EMEF,CAPELA DO SOCORRO,GRAJAU,3,2,2,"4,4","3,6","4,6","4,9","5,1","5,4","5,7"
016519,EMEFM RUBENS PAIVA EMEFM,SAO MATEUS,SAPOPEMBA,3,2,2,"4,4","4,7","4,6","4,9","5,2","5,5","5,8"
011924,EMEF MARIA ALICE BORGES GHION PROFA EMEF,BUTANTA,RAPOSO TAVARES,3,2,2,"4,4","4,4","4,6","4,8","5,0","5,2","5,4"
015440,EMEF EUZEBIO ROCHA FILHO EMEF,SAO MIGUEL,VILA CURUCA,3,2,2,"4,4","4,4","4,6","4,7","4,9","5,1","5,3"
095605,EMEF VILANOVA ARTIGAS ARQUITETO EMEF,SAO MATEUS,SAPOPEMBA,3,2,2,"4,4","4,6","4,6","4,8","5,1","5,3","5,5"
017981,EMEF PERICLES EUGENIO DA SILVA RAMOS EMEF,IPIRANGA,IPIRANGA,3,2,2,"4,4","4,3","4,6","4,8","5,0","5,2","5,4"
094978,EMEF EURICO GASPAR DUTRA MAL EMEF,IPIRANGA,CURSINO,3,2,2,"4,4","3,9","4,6","4,8","5,1","5,3","5,5"
094340,EMEF AROLDO DE AZEVEDO PROF EMEF,FREGUESIA/BRASILANDIA,LIMAO,3,2,2,"4,5","4,0","4,7","4,9","5,1","5,3","5,5"
094293,EMEF OSVALDO QUIRINO SIMOES EMEF,FREGUESIA/BRASILANDIA,CACHOEIRINHA,3,2,2,"4,5","4,4","4,7","4,9","5,2","5,4","5,6"
094731,EMEF ESMERALDA SALLES PEREIRA RAMOS PROFA EMEF,JACANA/TREMEMBE,TREMEMBE,3,2,2,"4,5","4,4","4,7","4,9","5,1","5,3","5,5"
087319,EMEF THEODOMIRO MONTEIRO DO AMARAL PROF EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,6","5,0","4,8","4,9","5,1","5,3","5,5"
019383,EMEF CAPAO REDONDO CEU EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,6","4,2","4,8","5,1","5,3","5,5","5,8"
019224,EMEF JARDIM BRITANIA EMEF,PIRITUBA,ANHANGUERA,3,2,2,"4,6","5,0","4,8","5,0","5,3","5,5","5,7"
093882,EMEF JOSE BENTO DE ASSIS PROF EMEF,SAO MIGUEL,JARDIM HELENA,3,2,2,"4,7","4,0","4,9","5,0","5,2","5,4","5,6"
019402,EMEF ZILKA SALABERRY DE CARVALHO EMEF,FREGUESIA/BRASILANDIA,CACHOEIRINHA,3,2,2,"4,7","4,9","4,9","5,1","5,3","5,5","5,7"
000311,EMEF ANTONIO ALVES DA SILVA SARGENTO EMEF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,7","4,6","4,9","5,1","5,2","5,4","5,6"
095061,EMEF FRANCISCO MEIRELLES DESEMBARGADOR EMEF,IPIRANGA,IPIRANGA,3,2,2,"4,7","4,0","4,9","5,1","5,3","5,4","5,6"
019674,EMEF JARDIM ELIANA EMEF,CAPELA DO SOCORRO,GRAJAU,3,2,2,"4,8","4,6","5,0","5,2","5,4","5,6","5,8"
010120,EMEF CARLOS AUGUSTO DE QUEIROZ ROCHA EMEF,SANTO AMARO,CIDADE ADEMAR,3,2,2,"4,8","4,8","4,9","5,1","5,3","5,5","5,7"
095249,EMEF HABIB CARLOS KYRILLOS DR EMEF,SANTO AMARO,CIDADE ADEMAR,3,2,2,"4,8","5,0","5,0","5,2","5,4","5,6","5,8"
094994,EMEF OLAVO FONTOURA EMEF,IPIRANGA,SACOMA,3,2,2,"4,8","4,6","5,0","5,2","5,4","5,6","5,8"
094498,EMEF CANDIDO PORTINARI EMEF,PIRITUBA,PERUS,3,2,2,"5,0","4,7","5,1","5,3","5,5","5,6","5,8"
019223,EMEF PARQUE DAS FLORES EMEF,SAO MATEUS,SAO RAFAEL,3,2,2,"5,0","4,5","5,1","5,3","5,4","5,6","5,8"
019218,EMEF JARDIM MONTE BELO EMEF,PIRITUBA,ANHANGUERA,3,2,2,"5,0","5,5","5,2","5,3","5,5","5,7","5,9"
094633,EMEF CELSO LEITE RIBEIRO FO EMEF,IPIRANGA,BELA VISTA,3,2,2,"5,1","5,1","5,3","5,4","5,6","5,8","6,0"
019251,EMEF CASARAO EMEF,CAMPO LIMPO,VILA ANDRADE,3,2,2,*,*,*,*,*,*,*
094145,EMEF EDGARD CAVALHEIRO EMEF,PENHA,CANGAIBA,3,2,2,*,*,*,*,*,*,*
