,,,,,,,IDEP,,METAS,,,,
019388,EMEF ANTONIO CARLOS ROCHA PROF,PENHA,PENHA,3,1,1,"4,7","3,4","4,9","5,1","5,3","5,5","5,8"
019389,CEU EMEF PARQUE ANHANGUERA ,PIRITUBA,ANHANGUERA,3,1,1,"4,8","5,1","5,0","5,2","5,5","5,7","5,9"
019390,CEU EMEF JAGUARE,PIRITUBA,JAGUARE,3,1,1,"4,1","3,8","4,3","4,6","4,8","5,0","5,3"
019401,EMEF JARDIM FONTALIS,JACANA/TREMEMBE,TREMEMBE,3,1,1,"4,7","4,7","4,9","5,1","5,3","5,5","5,7"
019406,EMEF CONSTELACAO DO INDIO,CAPELA DO SOCORRO,GRAJAU,3,1,1,"4,8","4,7","5,1","5,3","5,5","5,7","6,0"
019409,EMEF IZABEL APARECIDA CRISTOVAO DA LUZ PROFA,SAO MIGUEL,ITAIM PAULISTA,3,1,1,"4,5","4,9","4,7","4,9","5,2","5,4","5,6"
019412,EMEF BADRA,PIRITUBA,PERUS,3,1,1,"4,2","5,3","4,5","4,7","4,9","5,2","5,4"
019414,EMEF MOISES ELIAS DE SOUZA TENENTE,PIRITUBA,JARAGUA,3,1,1,"4,6","5,0","4,8","5,1","5,3","5,5","5,8"
019416,EMEF VILA MUNCK,BUTANTA,RAPOSO TAVARES,3,1,1,"5,6","5,7","5,7","5,9","6,1","6,3","6,5"
019417,EMEF JARDIM PAULO VI,BUTANTA,RAPOSO TAVARES,3,1,1,"4,0","4,7","4,3","4,5","4,8","5,0","5,3"
019422,EMEF M BOI MIRIM I,CAMPO LIMPO,JARDIM SAO LUIS,3,1,1,"5,0","5,1","5,2","5,4","5,6","5,8","6,1"
019424,EMEF M BOI MIRIM III,CAMPO LIMPO,JARDIM ANGELA,3,1,1,"4,6","4,4","4,8","5,1","5,3","5,5","5,8"
019427,EMEF HERCILIA DE CAMPOS COSTA,IPIRANGA,SACOMA,3,1,1,"4,8","5,0","5,1","5,3","5,5","5,8","6,0"
019433,"EMEF JOSEFA NICACIO ARAUJO, PROFA.",SAO MIGUEL,ITAIM PAULISTA,3,1,1,"4,7","4,9","4,9","5,1","5,4","5,6","5,9"
019434,EMEF CAMPO LIMPO II,CAMPO LIMPO,CAPAO REDONDO,3,1,1,"4,4","4,2","4,6","4,8","5,1","5,3","5,5"
019447,EMEF CONJUNTO HABITACINAL SITIO CONCEICAO II,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,7","4,0","4,9","5,2","5,4","5,6","5,8"
019456,"EMEF HELINA COUTINHO LOURENCO ALVES, PROFESSORA",GUAIANASES,CIDADE TIRADENTES,3,1,1,"5,1","5,0","5,3","5,5","5,8","6,0","6,3"
019460,EMEF JARDIM RODOLFO PIRANI I,SAO MATEUS,SAO RAFAEL,3,1,1,"4,3","5,5","4,6","4,8","5,0","5,3","5,5"
019462,EMEF EMEF PROFESSORA LILIAN MASO,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,8","4,6","5,0","5,3","5,5","5,7","5,9"
019466,EMEF EMEF PERIMETRAL,CAMPO LIMPO,VILA ANDRADE,3,1,1,"4,5","4,2","4,7","5,0","5,2","5,4","5,6"
019476,"EMEF MARIA APARECIDA DO NASCIMENTO, PROFA.",GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,8","4,6","5,1","5,3","5,5","5,7","5,9"
019551,EMEF CESAR ARRUDA CASTANHO,BUTANTA,RAPOSO TAVARES,3,1,1,"4,4","4,6","4,7","4,9","5,1","5,4","5,6"
019691,EMEF MARIO COVAS GOVERNADOR,ITAQUERA,JOSE BONIFACIO,3,1,1,"5,4","5,1","5,6","5,8","6,0","6,2","6,4"
092622,EMEF ARLINDO CAETANO FILHO PROF,SAO MATEUS,SAPOPEMBA,3,1,1,"4,7","4,5","4,9","5,1","5,4","5,6","5,9"
092801,EMEF IBRAHIM NOBRE,BUTANTA,RIO PEQUENO,3,1,1,"4,0","4,2","4,3","4,6","4,9","5,1","5,4"
092827,EMEF ALVARO SILVA BRAGA GAL,BUTANTA,RIO PEQUENO,3,1,1,"4,2","4,4","4,5","4,8","5,1","5,4","5,7"
092843,EMEF ROBERTO MANGE PROF,BUTANTA,RIO PEQUENO,3,1,1,"3,9","3,8","4,2","4,5","4,8","5,1","5,4"
092860,EMEF MARIO MOURA ALBUQUERQUE BEL,CAMPO LIMPO,JARDIM SAO LUIS,3,1,1,"4,5","4,6","4,7","5,0","5,2","5,5","5,7"
093025,EMEF PALIMERCIO DE REZENDE CORONEL,CAMPO LIMPO,CAMPO LIMPO,3,1,1,"4,7","4,4","4,9","5,1","5,4","5,6","5,9"
093106,EMEF DILERMANDO DIAS DOS SANTOS,PIRITUBA,VILA LEOPOLDINA,3,1,1,"4,6","4,5","4,9","5,1","5,4","5,7","5,9"
093238,EMEF ANTENOR NASCENTES,SANTO AMARO,CAMPO GRANDE,3,1,1,"4,7","4,4","5,0","5,2","5,5","5,7","6,0"
093467,EMEF DANYLO JOSE FERNANDES,ITAQUERA,CIDADE LIDER,3,1,1,"4,3","4,0","4,5","4,8","5,0","5,3","5,5"
093645,EMEF MAURICIO GOULART,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,2","4,7","4,5","4,7","5,0","5,2","5,5"
093653,EMEF WLADIMIR HERZOG,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,9","4,6","5,1","5,3","5,5","5,7","6,0"
093874,EMEF JOSE AMERICO DE ALMEIDA,SAO MIGUEL,JARDIM HELENA,3,1,1,"5,2","5,5","5,4","5,6","5,8","6,0","6,2"
094277,EMEF JOAO AMOS COMENIUS,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"3,7","3,5","3,9","4,2","4,5","4,7","5,0"
094315,EMEF PEDRO AMERICO,FREGUESIA/BRASILANDIA,FREGUESIA DO O,3,1,1,"4,5","3,7","4,7","4,9","5,2","5,4","5,7"
094331,EMEF HUMBERTO DANTAS,FREGUESIA/BRASILANDIA,LIMAO,3,1,1,"4,0","3,9","4,2","4,5","4,7","5,0","5,3"
094374,CEU EMEF TEOTONIO VILELA SENADOR,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,0","4,7","4,3","4,5","4,7","5,0","5,2"
094471,EMEF LUIZ DAVID SOBRINHO PROF,PIRITUBA,JARAGUA,3,1,1,"4,5","4,4","4,7","5,0","5,3","5,6","5,8"
094544,EMEF RUI BLOEM,PIRITUBA,SAO DOMINGOS,3,1,1,"4,6","4,6","4,9","5,1","5,4","5,6","5,8"
094641,EMEF INFANTE DOM HENRIQUE,PENHA,PARI,3,1,1,"4,8","4,6","5,0","5,3","5,5","5,7","5,9"
094722,EMEF JOAO RAMOS,JACANA/TREMEMBE,TREMEMBE,3,1,1,"4,6","4,3","4,9","5,1","5,4","5,6","5,9"
094803,EMEF ARY GOMES CORONEL,JACANA/TREMEMBE,VILA MARIA,3,1,1,"4,0","3,9","4,2","4,5","4,8","5,1","5,3"
094862,EMEF ALBERTO SANTOS DUMONT,JACANA/TREMEMBE,VILA MEDEIROS,3,1,1,"4,0","3,8","4,2","4,5","4,8","5,0","5,3"
094889,EMEF ANTONIO SANT'ANA GALVAO FREI,JACANA/TREMEMBE,JACANA,3,1,1,"3,8","3,5","4,0","4,3","4,6","4,8","5,1"
095176,EMEF JOSE LINS DO REGO,SAO MATEUS,SAO MATEUS,3,1,1,"4,6","4,1","4,8","5,0","5,2","5,5","5,7"
095222,EMEF ARY PARREIRAS ALMIRANTE,SANTO AMARO,JABAQUARA,3,1,1,"3,9","3,5","4,1","4,4","4,6","4,9","5,1"
095320,EMEF IRINEU MARINHO,IPIRANGA,VILA PRUDENTE,3,1,1,"4,4","4,3","4,6","4,8","5,0","5,3","5,5"
095354,EMEF GENERAL OSORIO,IPIRANGA,VILA PRUDENTE,3,1,1,"5,1","4,4","5,3","5,5","5,7","6,0","6,2"
095427,EMEF ALVARES DE AZEVEDO,IPIRANGA,SAO LUCAS,3,1,1,"5,1","5,9","5,3","5,6","5,8","6,0","6,2"
095443,EMEF HENRIQUE MELEGA PROF,SAO MATEUS,SAPOPEMBA,3,1,1,"5,2","4,6","5,4","5,6","5,9","6,1","6,3"
095478,EMEF FLORES DA CUNHA DEPUTADO,SAO MATEUS,SAPOPEMBA,3,1,1,"4,8","4,5","5,0","5,3","5,5","5,7","5,9"
095508,EMEF BRASILIO MACHADO NETO,SAO MATEUS,SAPOPEMBA,3,1,1,"4,1","3,8","4,3","4,6","4,9","5,1","5,4"
095524,EMEF VINICIUS DE MORAES,SAO MATEUS,SAPOPEMBA,3,1,1,"4,6","4,2","4,8","5,1","5,3","5,5","5,7"
095591,EMEF IVETE VARGAS DEPUTADA,SAO MATEUS,SAPOPEMBA,3,1,1,"4,4","4,8","4,6","4,9","5,1","5,4","5,6"
095613,EMEF PAULO DUARTE,SAO MATEUS,SAPOPEMBA,3,1,1,"5,2","5,6","5,4","5,6","5,9","6,1","6,3"
097063,EMEF ANTONIO PEREIRA IGNACIO,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,5","4,2","4,8","5,0","5,2","5,4","5,7"
097705,EMEF AURELIANO LEITE,GUAIANASES,CIDADE TIRADENTES,3,1,1,"5,0","5,1","5,2","5,5","5,7","5,9","6,1"
097721,EMEF JOSE AUGUSTO CESAR SALGADO DR,GUAIANASES,CIDADE TIRADENTES,3,1,1,"4,6","4,7","4,8","5,0","5,3","5,5","5,8"
099287,EMEF VIANNA MOOG,BUTANTA,VILA SONIA,3,1,1,"4,6","4,4","4,9","5,1","5,3","5,6","5,8"
099678,EMEF MALLET MARECHAL,ITAQUERA,JOSE BONIFACIO,3,1,1,"5,1","4,6","5,3","5,5","5,7","5,9","6,2"
099783,EMEF GERALDO SESSO JUNIOR,FREGUESIA/BRASILANDIA,BRASILANDIA,3,1,1,"4,6","4,1","4,8","5,0","5,3","5,5","5,8"
