,,,,,,,IDEP,,META,,,,
087319,EMEF THEODOMIRO MONTEIRO DO AMARAL PROF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,6","4,6","4,9","5,1","5,3","5,5","5,7"
092681,EMEF JOSE DE ALCANTARA MACHADO FO,BUTANTA,MORUMBI,3,2,2,"3,6","3,3","3,9","4,2","4,5","4,8","5,0"
092789,EMEF LUIZ EDUARDO MATARAZZO CONDE,BUTANTA,RIO PEQUENO,3,2,2,"4,7","4,4","4,9","5,2","5,4","5,7","5,9"
092819,EMEF BRASIL JAPAO,BUTANTA,RIO PEQUENO,3,2,2,"4,1","4,7","4,3","4,6","4,8","5,1","5,4"
092886,EMEF OLIVEIRA VIANA,CAMPO LIMPO,JARDIM ANGELA,3,2,2,"4,7","5,0","4,9","5,1","5,4","5,6","5,8"
092932,EMEF JORGE AMERICANO PROF,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"4,3","4,0","4,5","4,7","5,0","5,2","5,5"
092959,EMEF IRACEMA MARQUES SILVEIRA PROFA,CAMPO LIMPO,CAPAO REDONDO,3,2,2,"5,0","4,6","5,2","5,5","5,7","5,9","6,2"
092975,EMEF OTONIEL MOTA,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,4","4,9","4,6","4,9","5,1","5,4","5,7"
092983,EMEF PROCOPIO FERREIRA,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,4","4,1","4,7","4,9","5,1","5,4","5,6"
092991,EMEF AIRTON ARANTES RIBEIRO PROF.,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"5,7","4,8","5,9","6,1","6,3","6,5","6,7"
093068,EMEF ZULMIRA CAVALHEIRO FAUSTINO,CAMPO LIMPO,CAMPO LIMPO,3,2,2,"4,8","5,1","5,0","5,2","5,5","5,7","5,9"
093084,EMEF DE GAULLE GENERAL,CAMPO LIMPO,JARDIM SAO LUIS,3,2,2,"4,4","4,1","4,6","4,9","5,1","5,4","5,7"
093246,EMEF MANOEL CARLOS F FERRAZ DESEMBARGADOR,SANTO AMARO,PEDREIRA,3,2,2,"4,6","4,4","4,8","5,1","5,3","5,6","5,8"
093394,EMEF TEODOMIRO TOLEDO PIZA DESEMBARGADOR,CAPELA DO SOCORRO,GRAJAU,3,2,2,"4,9","4,7","5,1","5,3","5,6","5,8","6,1"
093548,EMEF SATURNINO PEREIRA,GUAIANASES,CIDADE TIRADENTES,3,2,2,"4,1","4,4","4,4","4,7","4,9","5,2","5,5"
093882,EMEF JOSE BENTO DE ASSIS PROF,SAO MIGUEL,JARDIM HELENA,3,2,2,"4,8","4,3","5,0","5,3","5,5","5,7","5,9"
093891,EMEF ARMANDO CRIDEY RIGHETTI,SAO MIGUEL,JARDIM HELENA,3,2,2,"4,2","3,7","4,4","4,7","4,9","5,2","5,5"
094145,EMEF EDGARD CAVALHEIRO,PENHA,CANGAIBA,3,2,2,"5,0","4,3","5,2","5,4","5,7","5,9","6,2"
094200,EMEF MILTOM CAMPOS SENADOR,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,0","4,3","4,2","4,5","4,8","5,1","5,3"
094218,EMEF ANDRE RODRIGUES ALCKMIN PROF,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,6","4,3","4,8","5,1","5,3","5,6","5,8"
094269,EMEF CASTRO ALVES,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,0","4,4","4,3","4,6","4,8","5,1","5,3"
094293,EMEF OSVALDO QUIRINO SIMOES,FREGUESIA/BRASILANDIA,CACHOEIRINHA,3,2,2,"4,4","4,5","4,6","4,9","5,1","5,4","5,6"
094340,EMEF AROLDO DE AZEVEDO PROF,FREGUESIA/BRASILANDIA,LIMAO,3,2,2,"3,8","3,8","4,0","4,3","4,5","4,8","5,1"
094382,EMEF CECILIA MORAES DE VASCONCELOS PROFA,FREGUESIA/BRASILANDIA,BRASILANDIA,3,2,2,"4,5","4,4","4,8","5,0","5,2","5,5","5,7"
094447,EMEF RENATO ANTONIO CHECCHIA PROF,PIRITUBA,PIRITUBA,3,2,2,"4,0","4,0","4,2","4,5","4,8","5,2","5,5"
094463,EMEF LEONEL FRANCA PADRE,PIRITUBA,JARAGUA,3,2,2,"4,0","4,3","4,3","4,6","4,8","5,1","5,4"
094498,EMEF CANDIDO PORTINARI,PIRITUBA,PERUS,3,2,2,"5,1","4,7","5,3","5,5","5,7","6,0","6,2"
094625,EMEF DUQUE DE CAXIAS,IPIRANGA,SE,3,2,2,"4,1","3,9","4,3","4,6","4,9","5,1","5,4"
094633,EMEF CELSO LEITE RIBEIRO FO,IPIRANGA,BELA VISTA,3,2,2,"5,3","5,2","5,5","5,7","5,9","6,1","6,4"
094731,EMEF ESMERALDA SALLES PEREIRA RAMOS PROFA,JACANA/TREMEMBE,TREMEMBE,3,2,2,"5,0","4,4","5,2","5,4","5,6","5,9","6,1"
094811,EMEF ROMAO GOMES CORONEL,JACANA/TREMEMBE,VILA MARIA,3,2,2,"4,2","4,3","4,4","4,7","4,9","5,2","5,4"
094854,EMEF ENEAS CARVALHO AGUIAR,JACANA/TREMEMBE,VILA MEDEIROS,3,2,2,"4,4","4,5","4,6","4,9","5,2","5,4","5,7"
094978,EMEF EURICO GASPAR DUTRA MAL,IPIRANGA,CURSINO,3,2,2,"4,3","5,0","4,6","4,8","5,1","5,4","5,7"
094994,EMEF OLAVO FONTOURA,IPIRANGA,SACOMA,3,2,2,"5,2","4,3","5,4","5,7","5,9","6,1","6,3"
095044,EMEF CAMPOS SALLES PRES,IPIRANGA,SACOMA,3,2,2,"4,7","4,3","4,9","5,1","5,4","5,6","5,8"
095061,EMEF FRANCISCO MEIRELLES DESEMBARGADOR,IPIRANGA,IPIRANGA,3,2,2,"5,5","4,9","5,7","5,9","6,1","6,3","6,5"
095141,EMEF VICENTINA RIBEIRO DA LUZ,ITAQUERA,ARICANDUVA,3,2,2,"4,9","4,3","5,1","5,4","5,6","5,9","6,1"
095249,EMEF HABIB CARLOS KYRILLOS DR,SANTO AMARO,CIDADE ADEMAR,3,2,2,"4,9","5,0","5,1","5,4","5,6","5,9","6,1"
095257,EMEF ANTONIO DE SAMPAIO DORIA PROF,SANTO AMARO,CIDADE ADEMAR,3,2,2,"4,2","4,1","4,4","4,7","5,0","5,2","5,5"
095494,EMEF ARMANDO DE SALLES OLIVEIRA,SAO MATEUS,SAPOPEMBA,3,2,2,"4,6","4,3","4,9","5,1","5,3","5,5","5,8"
095575,EMEF CIDADE DE OSAKA,SAO MATEUS,SAO RAFAEL,3,2,2,"4,7","5,5","4,9","5,2","5,5","5,7","6,0"
095605,EMEF VILANOVA ARTIGAS ARQUITETO,SAO MATEUS,SAPOPEMBA,3,2,2,"4,7","4,5","4,9","5,2","5,4","5,6","5,9"
