ANO;CD_SERV_SME;CD_CARGO;DC_CARGO;CD_SIT_FUNC;DC_SIT_FUNC;JORN_OPCAO;JORN_EXERCICIO;CD_UNIDADE;TP_UNIDADE;DC_UNIDADE;DRE_UNIDADE;CD_TURMA;NOME_TURMA;CD_SERIE;DC_SERIE;CD_COMPONENTE;DC_COMPONENTE;CD_TURNO;DC_TURNO;QT_CARG_HORARIA;TOT_AULAS;CD_ATRIBUICAO;CD_UNIDADE_ATRIBUICAO;DT_ATRIBUICAO;CD_TIPO_ATRIBUICAO;CD_AREA_ATUACAO;DC_AREA_ATUACAO;CD_ETAPA_ENSINO;DC_ETAPA_ENSINO;CD_CICLO_ENSINO;DC_CICLO_ENSINO;CD_MODALIDADE_ENSINO;DC_MODALIDADE_ENSINO;CD_TIPO_PROGRAMA;DC_TIPO_PROGRAMA;CD_MODALIDADE_ENSINO_PROGRAMA;DC_MODALIDADE_ENSINO_PROGRAMA
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155091;1A;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;23536;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155081;1A;432;CII 2A FI;218;LIBRAS;1;Manhã;3;24;23537;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155073;1A;430;CII 1A FI;218;LIBRAS;1;Manhã;3;24;23538;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1192794;4A;499;4Âª ETAPA EJA -EE;218;LIBRAS;1;Manhã;3;24;3278;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;11;EJA ESCOLAS EDUCACAO ESPECIAL;16;CICLO II;2;EJA ESCOLAS EDUCACAO ESPECIAL;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1192797;4B;490;4Âª ETAPA EJA -EE;218;LIBRAS;1;Manhã;3;24;3279;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;11;EJA ESCOLAS EDUCACAO ESPECIAL;16;CICLO II;2;EJA ESCOLAS EDUCACAO ESPECIAL;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1192786;3A;498;3Âª ETAPA EJA -EE;218;LIBRAS;1;Manhã;3;24;3280;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;11;EJA ESCOLAS EDUCACAO ESPECIAL;16;CICLO II;2;EJA ESCOLAS EDUCACAO ESPECIAL;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162561;1B;436;CII 4A FI;218;LIBRAS;5;Noite               ;3;24;3281;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162538;1D;432;CII 2A FI;218;LIBRAS;5;Noite               ;3;24;3282;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162556;1D;434;CII 3A FI;218;LIBRAS;5;Noite               ;3;24;3283;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162521;1C;430;CII 1A FI;218;LIBRAS;5;Noite               ;3;24;3284;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;102275;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1200598;1C;434;CII 3A FI;218;LIBRAS;5;Noite               ;3;24;3285;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;163041;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146997;6A;416;INF II ESP F I;512;ED.INF. EMEI 4 HS;3;Tarde               ;24;24;7787;329;19/12/2011 00:00;N;2;Ensino Fundamental I;10;EDUCACAO INFANTIL;14;PRE;2;EDUCACAO INFANTIL;;;1;REGULAR
2012;163851;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1202578;2A;428;CI.4A.FII;508;REGENCIA CLAS.F I;1;Manhã;25;25;7894;99180;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;202151;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1157691;1C;427;CI.4A.FI;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;12102;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;207002;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1157689;1A;427;CI.4A.FI;508;REGENCIA CLAS.F I;1;Manhã;25;25;12999;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;208962;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1159241;1B;1004;CI 3A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;13372;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;214113;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1201474;1A;1002;CI 2A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;14277;99180;19/12/2011 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;249222;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1201648;1A;432;CII 2A FI;8;GEOGRAFIA;1;Manhã;3;25;19861;99180;21/06/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249222;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1201441;1A;1000;CI 1A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;19865;99180;26/07/2012 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;249222;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1201565;1A;430;CII 1A FI;8;GEOGRAFIA;1;Manhã;3;25;19866;99180;21/06/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249222;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1202510;2A;433;CII 2A FII;8;GEOGRAFIA;1;Manhã;3;25;19871;99180;21/06/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162524;1A;432;CII 2A FI;139;ARTE;1;Manhã;2;25;19921;91812;03/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;249532;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1162544;1A;434;CII 3A FI;139;ARTE;1;Manhã;2;25;19922;91812;03/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155107;1C;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;23539;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;269613;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155075;1B;430;CII 1A FI;218;LIBRAS;1;Manhã;3;24;23540;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;271562;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;99180;EMEBS;ANNE SULLIVAN;SA;1202639;2C;428;CI.4A.FII;508;REGENCIA CLAS.F I;1;Manhã;25;25;23931;99180;07/02/2012 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1192797;4B;490;4Âª ETAPA EJA -EE;2;MATEMATICA;1;Manhã;5;25;27761;91812;02/02/2012 00:00;J;2;Ensino Fundamental I;11;EJA ESCOLAS EDUCACAO ESPECIAL;16;CICLO II;2;EJA ESCOLAS EDUCACAO ESPECIAL;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1192794;4A;499;4Âª ETAPA EJA -EE;2;MATEMATICA;1;Manhã;5;25;27762;91812;02/02/2012 00:00;J;2;Ensino Fundamental I;11;EJA ESCOLAS EDUCACAO ESPECIAL;16;CICLO II;2;EJA ESCOLAS EDUCACAO ESPECIAL;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1160793;1C;1004;CI 3A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;27763;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162548;1B;434;CII 3A FI;2;MATEMATICA;1;Manhã;5;25;27764;91812;02/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162544;1A;434;CII 3A FI;2;MATEMATICA;1;Manhã;5;25;27765;91812;02/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;298131;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;91812;EMEBS;HELEN KELLER;IP;1162559;1A;436;CII 4A FI;2;MATEMATICA;1;Manhã;5;25;27766;91812;02/02/2012 00:00;J;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;299831;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;337;EMEBS;LUCIE BRAY, ME;JT;1146263;1B;1002;CI 2A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;28000;337;19/12/2011 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;300331;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;337;EMEBS;LUCIE BRAY, ME;JT;1146265;1C;1004;CI 3A F I 9A;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;28055;337;19/12/2011 00:00;N;2;Ensino Fundamental I;13;ENSINO FUNDAMENTAL 9 ANOS;19;CICLO I;2;ENSINO FUNDAMENTAL 9 ANOS;;;1;REGULAR
2012;300901;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;91812;EMEBS;HELEN KELLER;IP;1210812;1C;427;CI.4A.FI;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;28128;91812;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;302641;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JBD;JBD;205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PJ;1155157;1A;427;CI.4A.FI;508;REGENCIA CLAS.F I;3;Tarde               ;25;25;28331;205;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;17;CICLO I;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146921;1C;430;CII 1A FI;218;LIBRAS;1;Manhã;3;24;31672;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146913;1B;430;CII 1A FI;218;LIBRAS;1;Manhã;3;24;31673;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146937;1A;432;CII 2A FI;218;LIBRAS;1;Manhã;3;24;31674;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146939;1B;432;CII 2A FI;218;LIBRAS;1;Manhã;3;24;31675;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146942;1A;434;CII 3A FI;218;LIBRAS;1;Manhã;3;24;31676;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146875;1A;430;CII 1A FI;218;LIBRAS;1;Manhã;3;24;31677;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146958;1B;436;CII 4A FI;218;LIBRAS;1;Manhã;3;24;31678;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;326411;3239;PROF.ED.INF.E ENS.FUND.I;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1146957;1A;436;CII 4A FI;218;LIBRAS;1;Manhã;3;24;31679;329;19/12/2011 00:00;N;2;Ensino Fundamental I;12;ENSINO FUNDAMENTAL 8 ANOS;18;CICLO II;2;ENSINO FUNDAMENTAL 8 ANOS;;;1;REGULAR
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147573;2G;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34485;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147572;2F;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34486;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147571;2D;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34487;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147564;2C;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34488;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147574;2H;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34489;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147563;2B;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34490;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147575;2I;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34491;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
2012;333501;3263;PROF.ENS.FUND.II E MED.-ED.FISICA;1;EFETIVO;JEIF;JEIF;329;EMEBS;NEUSA BASSETTO, PROFA.;PE;1147569;2E;693;ED.FIS.3HA;6;ED. FISICA;1;Manhã;3;24;34492;329;19/12/2011 00:00;N;3;Ensino Fundamental II;;;;;;;;;2;ED. FISICA
